Lake Code,Lake Name,Lake System,ODWC Region,Lake Size,CTHFP
10CHOC,Choctaw 10 Acre Pond,,Central,,Yes
33RD,33rd Street Pond Dam,,Central,,Yes
ADAIR,Adair Recreational Area,,East Central,,
ADAMS,Adams,,Northwest,,
ALTCIT,Altus City,,Southwest,,
AMHORS,American Horse,,Northwest,,
ARBUCK,Arbuckle,,South Central,,
ARCADI,Arcadia,,Central,,
ARDCIT,Ardmore City,,South Central,,
ATOBLU,Atoka Bluestem,,South Central,,
ATOKA,Atoka Lake,,South Central,,
BARDEW,Bar-Dew,,North Central,,
BARREN,Barren Fork Creek,,East Central,,
BARTLE,Bartlesville,,Northeast,,
BEAVER,Beaver,,Northwest,,
BEGGS,Beggs,,Central,,
BELLCO,Bell Cow,,Central,,
BIRCH,Birch,,North Central,,
BIXHOM,Bixhoma,,Northeast,,
BLACK,Carl Blackwell,,North Central,,
BLUEST,Bluestem,,North Central,,
BOOMER,Boomer,,North Central,,
BOREN,Boren,,Northeast,,
BOSWEL,Boswell,,Southeast,,
BOYER,Boyer,,Southwest,,
BRBOW,Broken Bow,,Southeast,,
BRISTO,Bristow,,Northeast,,
BROWN,Brown,,Southeast,,
BRUSHY,Brushy Creek,,East Central,,
BRYCTY,,,,,
BURFOR,Burford,,Southwest,,
BURTSC,Burtschi,,Southwest,,
BYARS,Byars,,Central,,
CACHEC,Cache Creek,,Southwest,,
CADD18,Caddo 18,,South Central,,
CANTON,Canton,,Northwest,,
CARLAL,Carl Albert,,Southeast,,
CARLTO,Carlton,,Southeast,,
CARTER,Carter,,South Central,,
CEDAR,Cedar,,Southeast,,
CENTRL,Eufala Central Arm,Eufala,East Central,,
CHAMBE,Chambers,,Northwest,,
CHANDL,Chandler,,Central,,
CHELSE,Chelsea City,,Northeast,,
CHELSH,Chleshoma,,Northeast,,
CHICKA,Chickasha,,Southwest,,
CHOUTE,Chouteau L&D 17,,Northeast,,
CHROCK,Chimney Rock,,Northeast,,
CHURCH,Church,,Southeast,,
CLAREM,Claremore City,,Northeast,,
CLAYTO,Clayton,,Southeast,,
CLEAR,Clearview,,Central,,
CLEARC,Clear Creek,,Southwest,,
CLEMS,,,,,
CLEVEL,Cleveland,,North Central,,
CLINTO,Clinton,,Northwest,,
COALGA,Coalgate,,South Central,,
COMANC,Comanche,,Southwest,,
COONCK,Coon Creek,,Southeast,,
COPAN,Copan,,Northeast,,
CRATER,Crater,,Southwest,,
CROOKB,Crooked Branch,,?,,
CROSSL,Crosslin,,Northwest,9,Yes
CROWDE,Crowder,,Northwest,,
CRYSTL,Crystal,,Central,,Yes
CSCLOW,,,,,
CSCTOP,,,,,
CUSHCC,Cushing Country Club Pond,,North Central,,
CUSHIN,Cushing,,North Central,,
DALGRN,Dahlgren,,Central,,
DAVENP,Davenport,,Central,,
DEADIN,Dead Indian,,Northwest,,
DEEPFK,Eufala Deep Fork Arm,Eufala,East Central,,
DOLESE,Dolese Youth Park,,Central,,Yes
DOW,Dow,,Southeast,,
DRAC,Dale Robertson Activity,,OKC,1,Yes
DRAPER,Stanley Draper,,Central,,
DROWNC,Grand Drowning Creek Arm,Grand,Northeast,,
DRSPGS,Dripping Springs,,Central,,
DUCK,Duck Pond (OU),,Central,,
DUNCAN,Duncan,,Southwest,,
DURANT,Durant,,South Central,,
DUSTIN,Dustin,,Central,,
EAGLE,Eagle,,Central,,Yes
EDWARD,Edwards Park,,Central,,Yes
ELKCIT,Elk City,,Northwest,,
ELKRIV,Grand Elk River Arm,Grand,Northeast,,
ELLSWO,Ellsworth,,Southwest,,
ELMER,Elmer,,Northwest,,
ELMERT,Elmer Thomas,,Southwest,,Yes
ELMORE,Elmore City Lake,,Central,,
ELRENO,El Reno,,Central,,
ESPERA,,,,,
ETLING,Carl Etling,,Northwest,,
EUCHA,Eucha,,Northeast,,
EUFAUL,Eufaula,Eufala,East Central,,
EVACRK,,,,,
EVANS,Evans Chamber,,Northwest,,
FAIRFA,Fairfax,,North Central,,
FALCON,Falcon Lake,,,,
FINFEA,,,,,
FLATCR,Fort Gibson Flatrock Creek Arm,Fort Gibson,Northeast,,
FLINT,,,,,
