Year,Type,Date,Water Body,Species,Number,Size,Hatchery
2017,Public Fish - Requested,1/1/2017,45th Infantry Memorial Park (Coalgate Vet Pond),Channel Catfish,520,"9""",
2017,Public Fish - Requested,1/1/2017,Altus Lugert,Channel Catfish,"19,800","7""",
2017,Public Fish - Requested,1/1/2017,Altus Lugert,Walleye,"66,000",fingerling,
2017,Public Fish - Requested,1/1/2017,Arbuckle,Certified Florida Largemouth Bass,"100,000",1.5,
2017,Public Fish - Requested,1/1/2017,Arcadia Lake,Saugeye,"36,400",fingerling,
2017,Public Fish - Requested,1/1/2017,Ardmore City,Certified Florida Largemouth Bass,"75,000",1.5,
2017,Public Fish - Requested,1/1/2017,Arkansas River,Sauger,"100,000",fingerling,
2017,Public Fish - Requested,1/1/2017,Beggs City,Channel Catfish,"4,560","7""",
2017,Public Fish - Requested,1/1/2017,"Bickham & Rudkin (33rd Street Pond), Edmond",Channel Catfish,800,"9""",
2017,Public Fish - Requested,1/1/2017,Birch,Hybrid Striped Bass,"11,370",1.5,
2017,Public Fish - Requested,1/1/2017,Bixhoma,Certified Florida Largemouth Bass,"15,000",1.5,
2017,Public Fish - Requested,1/1/2017,Blue River,Channel Catfish,"11,000","12""",
2017,Public Fish - Requested,1/1/2017,"Bluestem, Osage",Saugeye,"16,000",fingerling,
2017,Public Fish - Requested,1/1/2017,Boswell State Park,Channel Catfish,600,"9""",
2017,Public Fish - Requested,1/1/2017,Broken Bow,Certified Florida Largemouth Bass,"100,000",1.5,
2017,Public Fish - Requested,1/1/2017,"Buck Thomas, Moore",Channel Catfish,200,"9""",
2017,Public Fish - Requested,1/1/2017,Bull Lake City of Vinita,Channel Catfish,"1,500","7""",
2017,Public Fish - Requested,1/1/2017,Burtschi,Saugeye,"3,600",fingerling,
2017,Public Fish - Requested,1/1/2017,Canton,Walleye,"3,160,000",fry,
2017,Public Fish - Requested,1/1/2017,Carl Albert Lake (Talihina City Lake),Certified Florida Largemouth Bass,"75,000",1.5,
2017,Public Fish - Requested,1/1/2017,Carl Blackwell,Hybrid Striped Bass,"33,800",1.5,
2017,Public Fish - Requested,1/1/2017,Carl Blackwell,Saugeye,"67,600",fingerling,
2017,Public Fish - Requested,1/1/2017,Carlton (Robbers Cave State Park),Certified Florida Largemouth Bass,"75,000",1.5,
2017,Public Fish - Requested,1/1/2017,Cedar (USFWS),Certified Florida Largemouth Bass,"15,000",1.5,
2017,Public Fish - Requested,1/1/2017,Cedar (USFWS),Channel Catfish,"3,400","9""",
2017,Public Fish - Requested,1/1/2017,Choctaw-Ten Acre (10 Acre Park),Channel Catfish,800,"9""",
2017,Public Fish - Requested,1/1/2017,Chouteau Bridge Pond (WMA),Channel Catfish,500,"9""",
2017,Public Fish - Requested,1/1/2017,Church Lake,Certified Florida Largemouth Bass,"75,000",1.5,
2017,Public Fish - Requested,1/1/2017,Clayton Lake State Park,Certified Florida Largemouth Bass,"75,000",1.5,
2017,Public Fish - Requested,1/1/2017,Clayton Lake State Park,Channel Catfish,"3,000","9""",
2017,Public Fish - Requested,1/1/2017,Clear Creek Lake,Certified Florida Largemouth Bass,"75,000",1.5,
2017,Public Fish - Requested,1/1/2017,Cleveland City,Certified Florida Largemouth Bass,200,Adult,
2017,Public Fish - Requested,1/1/2017,Clinton City,Saugeye,"3,350",fingerling,
2017,Public Fish - Requested,1/1/2017,Comanche City Pond,Certified Florida Largemouth Bass,"75,000",1.5,
2017,Public Fish - Requested,1/1/2017,Coon Creek (Robbers Cave State Park),Certified Florida Largemouth Bass,"75,000",1.5,
2017,Public Fish - Requested,1/1/2017,Coon Creek (Robbers Cave State Park),Channel Catfish,"1,360","9""",
2017,Public Fish - Requested,1/1/2017,Crowder Lake,Certified Florida Largemouth Bass,"75,000",1.5,
2017,Public Fish - Requested,1/1/2017,Crowder Lake,Certified Florida Largemouth Bass,200,Adult,
2017,Public Fish - Requested,1/1/2017,Cyril Park Pond,Channel Catfish,200,"9""",
2017,Public Fish - Requested,1/1/2017,Dale Zachary Sr. Citizens,Channel Catfish,550,"9""",
2017,Public Fish - Requested,1/1/2017,Doc Hollis,Certified Florida Largemouth Bass,50,Adult,
2017,Public Fish - Requested,1/1/2017,Doc Hollis,Channel Catfish,700,"9""",
2017,Public Fish - Requested,1/1/2017,Dolese Park Pond,Channel Catfish,600,"9""",
2017,Public Fish - Requested,1/1/2017,Dripping Springs,Certified Florida Largemouth Bass,"60,000",1.5,
2017,Public Fish - Requested,1/1/2017,Duncan Lake,Saugeye,"8,000",fingerling,
2017,Public Fish - Requested,1/1/2017,Durant Lake,Certified Florida Largemouth Bass,"30,000",1.5,
2017,Public Fish - Requested,1/1/2017,"Eagle Lake, Del City",Channel Catfish,"1,640","9""",
2017,Public Fish - Requested,1/1/2017,El Reno - Southern Hills North,Channel Catfish,200,"9""",
2017,Public Fish - Requested,1/1/2017,El Reno - Southern Hills South,Channel Catfish,100,"9""",
2017,Public Fish - Requested,1/1/2017,Elk City,Certified Florida Largemouth Bass,200,Adult,
2017,Public Fish - Requested,1/1/2017,Elk City,Channel Catfish,"2,400","7""",
2017,Public Fish - Requested,1/1/2017,Elk City,Saugeye,"4,800",fingerling,
2017,Public Fish - Requested,1/1/2017,Ellsworth,Saugeye,"51,120",fingerling,
2017,Public Fish - Requested,1/1/2017,"Elmer Thomas Park, Lake Helen",Certified Florida Largemouth Bass,100,Adult,
2017,Public Fish - Requested,1/1/2017,"Elmer Thomas Park, Lake Helen",Certified Florida Largemouth Bass,"30,000",1.5,
2017,Public Fish - Requested,1/1/2017,"Elmer Thomas Park, Lake Helen",Channel Catfish,"1,500","9""",
2017,Public Fish - Requested,1/1/2017,"Elmer Thomas Park, Lake Helen",Channel Catfish,"3,000","7""",
2017,Public Fish - Requested,1/1/2017,"Elmer Thomas Park, Lake Helen",Channel Catfish,"6,000","9""",
2017,Public Fish - Requested,1/1/2017,Elmoore City Lake,Channel Catfish,"2,400","7""",
2017,Public Fish - Requested,1/1/2017,Etling,Channel Catfish,"6,400","7""",
2017,Public Fish - Requested,1/1/2017,Eucha Lake,Certified Florida Largemouth Bass,500,Adult,
2017,Public Fish - Requested,1/1/2017,Eufaula,Certified Florida Largemouth Bass,"100,000",1.5,
2017,Public Fish - Requested,1/1/2017,Fletcher Pond,Channel Catfish,100,"9""",
2017,Public Fish - Requested,1/1/2017,Foss,Walleye,"1,100,000",fry,
2017,Public Fish - Requested,1/1/2017,Ft. Cobb,Hybrid Striped Bass,"41,000",1.5,
2017,Public Fish - Requested,1/1/2017,Ft. Cobb,Saugeye,"41,000",fingerling,
2017,Public Fish - Requested,1/1/2017,Ft. Gibson Lake,Certified Florida Largemouth Bass,500,Adult,
2017,Public Fish - Requested,1/1/2017,Ft. Supply,Walleye,"940,000",fry,
2017,Public Fish - Requested,1/1/2017,Fuqua,Certified Florida Largemouth Bass,"75,000",1.5,
2017,Public Fish - Requested,1/1/2017,Geronimo City Park Pond,Channel Catfish,300,"9""",
2017,Public Fish - Requested,1/1/2017,"Griffin Park, Norman",Channel Catfish,500,"9""",
2017,Public Fish - Requested,1/1/2017,Guthrie - Mineral Wells,Channel Catfish,330,"9""",
2017,Public Fish - Requested,1/1/2017,"H.B. Parsons Fish Hatchery, Hefner",Channel Catfish,"10,000","2""",
2017,Public Fish - Requested,1/1/2017,"H.B. Parsons Fish Hatchery, Hefner",Hybrid Striped Bass,"600,000",fry,
2017,Public Fish - Requested,1/1/2017,"H.B. Parsons Fish Hatchery, Hefner",Walleye,"600,000",fry,
2017,Public Fish - Requested,1/1/2017,Hall,Channel Catfish,360,"9""",
2017,Public Fish - Requested,1/1/2017,Heritage Park Pond (Harrah),Channel Catfish,200,"9""",
2017,Public Fish - Requested,1/1/2017,"Highland Park, Guthrie (Aka Hudson Lake)",Channel Catfish,50,"9""",
2017,Public Fish - Requested,1/1/2017,Hinton City Lake,Channel Catfish,400,"9""",
2017,Public Fish - Requested,1/1/2017,Holdenville City,Certified Florida Largemouth Bass,"30,000",1.5,
2017,Public Fish - Requested,1/1/2017,Humphreys,Certified Florida Largemouth Bass,"75,000",1.5,
2017,Public Fish - Requested,1/1/2017,Hungry Goat pond (Deep Fork WMA),Channel Catfish,"1,000","7""",
2017,Public Fish - Requested,1/1/2017,"Hunter Park, Kiowa",Channel Catfish,750,"9""",
2017,Public Fish - Requested,1/1/2017,Jap Beaver,Channel Catfish,"1,300","9""",
2017,Public Fish - Requested,1/1/2017,Kaw,Hybrid Striped Bass,"100,000",1.5,
2017,Public Fish - Requested,1/1/2017,Kaw,Walleye,"42,500",fingerling,
2017,Public Fish - Requested,1/1/2017,Langston,Channel Catfish,"12,160","7""",
2017,Public Fish - Requested,1/1/2017,Lawtonka,Certified Florida Largemouth Bass,"60,000",1.5,
2017,Public Fish - Requested,1/1/2017,Lawtonka,Channel Catfish,"7,200","7""",
2017,Public Fish - Requested,1/1/2017,Lawtonka,Saugeye,"24,000",fingerling,
2017,Public Fish - Requested,1/1/2017,"Legion Park Pond, El Reno",Channel Catfish,150,"9""",
2017,Public Fish - Requested,1/1/2017,Lexington WMA Ponds,Channel Catfish,"1,200","7""",
2017,Public Fish - Requested,1/1/2017,"Liberty Lake Park, Lawton",Channel Catfish,600,"9""",
2017,Public Fish - Requested,1/1/2017,Lone Chimney,Certified Florida Largemouth Bass,200,Adult,
